03-06 17:32:03.319 E/AccessibilityNodeInfoCache( 1975): Node from: 9 not from:8 android.view.accessibility.AccessibilityNodeInfo@834d; boundsInParent: Rect(0, 0 - 720, 1280); boundsInScreen: Rect(0, 0 - 720, 1280); packageName: com.jhd.help; className: android.widget.FrameLayout; text: null; contentDescription: null; checkable: false; checked: false; focusable: false; focused: false; selected: false; clickable: false; longClickable: false; enabled: true; password: false; scrollable: false; [ACTION_SELECT, ACTION_CLEAR_SELECTION, ACTION_ACCESSIBILITY_FOCUS]
03-06 17:32:03.319 E/AccessibilityNodeInfoCache( 1975): Node from: 9 not from:8 android.view.accessibility.AccessibilityNodeInfo@870e; boundsInParent: Rect(0, 0 - 720, 1280); boundsInScreen: Rect(0, 0 - 720, 1280); packageName: com.jhd.help; className: android.widget.LinearLayout; text: null; contentDescription: null; checkable: false; checked: false; focusable: false; focused: false; selected: false; clickable: false; longClickable: false; enabled: true; password: false; scrollable: false; [ACTION_SELECT, ACTION_CLEAR_SELECTION, ACTION_ACCESSIBILITY_FOCUS]
03-06 17:32:03.319 E/AccessibilityNodeInfoCache( 1975): Node from: 9 not from:8 android.view.accessibility.AccessibilityNodeInfo@8acf; boundsInParent: Rect(0, 0 - 720, 1280); boundsInScreen: Rect(0, 0 - 720, 1280); packageName: com.jhd.help; className: android.widget.FrameLayout; text: null; contentDescription: null; checkable: false; checked: false; focusable: false; focused: false; selected: false; clickable: false; longClickable: false; enabled: true; password: false; scrollable: false; [ACTION_SELECT, ACTION_CLEAR_SELECTION, ACTION_ACCESSIBILITY_FOCUS]
03-06 17:32:03.319 E/AccessibilityNodeInfoCache( 1975): Node from: 9 not from:8 android.view.accessibility.AccessibilityNodeInfo@8e90; boundsInParent: Rect(0, 0 - 720, 1280); boundsInScreen: Rect(0, 0 - 720, 1280); packageName: com.jhd.help; className: android.widget.RelativeLayout; text: null; contentDescription: null; checkable: false; checked: false; focusable: false; focused: false; selected: false; clickable: false; longClickable: false; enabled: true; password: false; scrollable: false; [ACTION_SELECT, ACTION_CLEAR_SELECTION, ACTION_ACCESSIBILITY_FOCUS]
03-06 17:32:03.319 E/AccessibilityNodeInfoCache( 1975): Node from: 9 not from:8 android.view.accessibility.AccessibilityNodeInfo@9612; boundsInParent: Rect(0, 0 - 720, 0); boundsInScreen: Rect(0, 1190 - 720, 1190); packageName: com.jhd.help; className: android.widget.LinearLayout; text: null; contentDescription: null; checkable: false; checked: false; focusable: false; focused: false; selected: false; clickable: false; longClickable: false; enabled: true; password: false; scrollable: false; [ACTION_SELECT, ACTION_CLEAR_SELECTION, ACTION_ACCESSIBILITY_FOCUS]
03-06 17:32:03.319 E/AccessibilityNodeInfoCache( 1975): Node from: 9 not from:8 android.view.accessibility.AccessibilityNodeInfo@99d3; boundsInParent: Rect(0, 0 - 720, 12); boundsInScreen: Rect(0, 1208 - 720, 1220); packageName: com.jhd.help; className: android.widget.LinearLayout; text: null; contentDescription: null; checkable: false; checked: false; focusable: false; focused: false; selected: false; clickable: false; longClickable: false; enabled: true; password: false; scrollable: false; [ACTION_SELECT, ACTION_CLEAR_SELECTION, ACTION_ACCESSIBILITY_FOCUS]
03-06 17:32:03.319 E/AccessibilityNodeInfoCache( 1975): Node from: 9 not from:8 android.view.accessibility.AccessibilityNodeInfo@a516; boundsInParent: Rect(0, 0 - 12, 12); boundsInScreen: Rect(309, 1208 - 321, 1220); packageName: com.jhd.help; className: android.widget.FrameLayout; text: null; contentDescription: null; checkable: false; checked: false; focusable: false; focused: false; selected: false; clickable: false; longClickable: false; enabled: true; password: false; scrollable: false; [ACTION_SELECT, ACTION_CLEAR_SELECTION, ACTION_ACCESSIBILITY_FOCUS]
03-06 17:32:03.319 E/AccessibilityNodeInfoCache( 1975): Node from: 9 not from:8 android.view.accessibility.AccessibilityNodeInfo@a8d7; boundsInParent: Rect(0, 0 - 12, 12); boundsInScreen: Rect(339, 1208 - 351, 1220); packageName: com.jhd.help; className: android.widget.FrameLayout; text: null; contentDescription: null; checkable: false; checked: false; focusable: false; focused: false; selected: false; clickable: false; longClickable: false; enabled: true; password: false; scrollable: false; [ACTION_SELECT, ACTION_CLEAR_SELECTION, ACTION_ACCESSIBILITY_FOCUS]
03-06 17:32:03.319 E/AccessibilityNodeInfoCache( 1975): Node from: 9 not from:8 android.view.accessibility.AccessibilityNodeInfo@ac98; boundsInParent: Rect(0, 0 - 12, 12); boundsInScreen: Rect(369, 1208 - 381, 1220); packageName: com.jhd.help; className: android.widget.FrameLayout; text: null; contentDescription: null; checkable: false; checked: false; focusable: false; focused: false; selected: false; clickable: false; longClickable: false; enabled: true; password: false; scrollable: false; [ACTION_SELECT, ACTION_CLEAR_SELECTION, ACTION_ACCESSIBILITY_FOCUS]
03-06 17:32:03.319 E/AccessibilityNodeInfoCache( 1975): Node from: 9 not from:8 android.view.accessibility.AccessibilityNodeInfo@b059; boundsInParent: Rect(0, 0 - 12, 12); boundsInScreen: Rect(399, 1208 - 411, 1220); packageName: com.jhd.help; className: android.widget.FrameLayout; text: null; contentDescription: null; checkable: false; checked: false; focusable: false; focused: false; selected: false; clickable: false; longClickable: false; enabled: true; password: false; scrollable: false; [ACTION_SELECT, ACTION_CLEAR_SELECTION, ACTION_ACCESSIBILITY_FOCUS]
03-06 17:32:03.319 E/AccessibilityNodeInfoCache( 1975): Node from: 9 not from:8 android.view.accessibility.AccessibilityNodeInfo@bb9c; boundsInParent: Rect(0, 0 - 12, 12); boundsInScreen: Rect(309, 1208 - 321, 1220); packageName: com.jhd.help; className: android.widget.ImageView; text: null; contentDescription: 麦圈; checkable: false; checked: false; focusable: false; focused: false; selected: false; clickable: false; longClickable: false; enabled: true; password: false; scrollable: false; [ACTION_SELECT, ACTION_CLEAR_SELECTION, ACTION_ACCESSIBILITY_FOCUS, ACTION_NEXT_AT_MOVEMENT_GRANULARITY, ACTION_PREVIOUS_AT_MOVEMENT_GRANULARITY]
03-06 17:32:03.319 E/AccessibilityNodeInfoCache( 1975): Node from: 9 not from:8 android.view.accessibility.AccessibilityNodeInfo@bf5d; boundsInParent: Rect(0, 0 - 12, 12); boundsInScreen: Rect(309, 1208 - 321, 1220); packageName: com.jhd.help; className: android.widget.ImageView; text: null; contentDescription: 麦圈; checkable: false; checked: false; focusable: false; focused: false; selected: false; clickable: false; longClickable: false; enabled: true; password: false; scrollable: false; [ACTION_SELECT, ACTION_CLEAR_SELECTION, ACTION_ACCESSIBILITY_FOCUS, ACTION_NEXT_AT_MOVEMENT_GRANULARITY, ACTION_PREVIOUS_AT_MOVEMENT_GRANULARITY]
03-06 17:32:03.319 E/AccessibilityNodeInfoCache( 1975): Node from: 9 not from:8 android.view.accessibility.AccessibilityNodeInfo@c31e; boundsInParent: Rect(0, 0 - 12, 12); boundsInScreen: Rect(339, 1208 - 351, 1220); packageName: com.jhd.help; className: android.widget.ImageView; text: null; contentDescription: 麦圈; checkable: false; checked: false; focusable: false; focused: false; selected: false; clickable: false; longClickable: false; enabled: true; password: false; scrollable: false; [ACTION_SELECT, ACTION_CLEAR_SELECTION, ACTION_ACCESSIBILITY_FOCUS, ACTION_NEXT_AT_MOVEMENT_GRANULARITY, ACTION_PREVIOUS_AT_MOVEMENT_GRANULARITY]
03-06 17:32:03.319 E/AccessibilityNodeInfoCache( 1975): Node from: 9 not from:8 android.view.accessibility.AccessibilityNodeInfo@c6df; boundsInParent: Rect(0, 0 - 12, 12); boundsInScreen: Rect(369, 1208 - 381, 1220); packageName: com.jhd.help; className: android.widget.ImageView; text: null; contentDescription: null; checkable: false; checked: false; focusable: false; focused: false; selected: false; clickable: false; longClickable: false; enabled: true; password: false; scrollable: false; [ACTION_SELECT, ACTION_CLEAR_SELECTION, ACTION_ACCESSIBILITY_FOCUS]
03-06 17:32:03.319 E/AccessibilityNodeInfoCache( 1975): Node from: 9 not from:8 android.view.accessibility.AccessibilityNodeInfo@caa0; boundsInParent: Rect(0, 0 - 12, 12); boundsInScreen: Rect(399, 1208 - 411, 1220); packageName: com.jhd.help; className: android.widget.ImageView; text: null; contentDescription: 麦圈; checkable: false; checked: false; focusable: false; focused: false; selected: false; clickable: false; longClickable: false; enabled: true; password: false; scrollable: false; [ACTION_SELECT, ACTION_CLEAR_SELECTION, ACTION_ACCESSIBILITY_FOCUS, ACTION_NEXT_AT_MOVEMENT_GRANULARITY, ACTION_PREVIOUS_AT_MOVEMENT_GRANULARITY]
03-06 17:32:03.319 D/UiAutomatorBridge( 1975): EventType: TYPE_VIEW_SCROLLED; EventTime: 316801; PackageName: com.jhd.help; MovementGranularity: 0; Action: 0 [ ClassName: android.support.v4.view.ViewPager; Text: []; ContentDescription: null; ItemCount: -1; CurrentItemIndex: -1; IsEnabled: true; IsPassword: false; IsChecked: false; IsFullScreen: false; Scrollable: false; BeforeText: null; FromIndex: -1; ToIndex: -1; ScrollX: -1; ScrollY: -1; MaxScrollX: -1; MaxScrollY: -1; AddedCount: -1; RemovedCount: -1; ParcelableData: null ]; recordCount: 0
